mode,corruption,level,seed_id,s/test/acc,s/test/sel_acc
fsgc,contrast,1,3,94.78515982627867,99.34813690185548
fsgc,brightness,5,3,89.24804925918579,98.01769256591795
fsgc,brightness,4,3,92.4121081829071,98.89928436279295
fsgc,brightness,3,3,93.5253918170929,99.08216857910156
fsgc,brightness,2,3,94.19922232627867,99.20790100097656
fsgc,brightness,1,3,94.54101920127867,99.3174285888672
fsgc,zoom_blur,5,4,69.19922232627869,86.86719512939453
fsgc,zoom_blur,4,4,77.8613269329071,92.50084686279295
fsgc,zoom_blur,3,4,82.99804925918579,94.94658660888672
fsgc,zoom_blur,2,4,87.3242199420929,97.21137237548828
fsgc,zoom_blur,1,4,89.44336175918579,97.80055236816406
fsgc,speckle_noise,5,4,37.55859434604645,57.58058547973633
fsgc,speckle_noise,4,4,49.17968809604645,72.7859878540039
fsgc,speckle_noise,3,4,62.75390982627869,84.63567352294922
fsgc,speckle_noise,2,4,70.8203136920929,90.18814849853516
fsgc,speckle_noise,1,4,85.6152355670929,96.94583129882812
fsgc,spatter,5,4,73.53515625,86.80284881591797
fsgc,spatter,4,4,84.56054925918579,94.90969848632812
fsgc,spatter,3,4,79.69726920127869,93.80754089355467
fsgc,spatter,2,4,83.55469107627869,95.4641342163086
fsgc,spatter,1,4,91.1523461341858,98.20738220214844
fsgc,snow,5,4,74.5312511920929,91.19009399414062
fsgc,snow,4,4,80.41015863418579,94.8658447265625
fsgc,snow,3,4,82.3437511920929,95.3317642211914
fsgc,snow,2,4,79.7070324420929,94.07291412353516
fsgc,snow,1,4,88.90625238418579,97.66767120361328
fsgc,shot_noise,5,4,33.30078125,52.96443557739258
fsgc,shot_noise,4,4,44.78515684604645,67.69029998779297
fsgc,shot_noise,3,4,52.84180045127869,75.6966552734375
fsgc,shot_noise,2,4,75.49805045127869,92.48482513427734
fsgc,shot_noise,1,4,85.5664074420929,96.98694610595705
fsgc,saturate,5,4,84.9414050579071,96.53929901123048
fsgc,saturate,4,4,90.4003918170929,98.26850128173828
fsgc,saturate,3,4,93.9453125,99.01708221435548
fsgc,saturate,2,4,89.8632824420929,98.14849090576172
fsgc,saturate,1,4,92.6074206829071,98.83889770507812
fsgc,pixelate,5,4,46.31836116313934,68.13371276855469
fsgc,pixelate,4,4,65.52734375,85.17948913574219
fsgc,pixelate,3,4,83.4277331829071,96.05355072021484
fsgc,pixelate,2,4,87.39258050918579,97.54621124267578
fsgc,pixelate,1,4,92.5488293170929,98.89320373535156
fsgc,motion_blur,5,4,70.4785168170929,86.80905151367188
fsgc,motion_blur,4,4,78.22265625,92.74031829833984
fsgc,motion_blur,3,4,77.3632824420929,92.17431640625
fsgc,motion_blur,2,4,85.107421875,96.288818359375
fsgc,motion_blur,1,4,90.8593773841858,98.3052215576172
fsgc,jpeg_compression,5,4,72.1875011920929,89.16683197021484
fsgc,jpeg_compression,4,4,76.26953125,92.29940032958984
fsgc,jpeg_compression,3,4,79.0820300579071,93.7470932006836
fsgc,jpeg_compression,2,4,81.35742545127869,94.92772674560548
fsgc,jpeg_compression,1,4,86.14258170127869,96.90892028808594
fsgc,impulse_noise,5,4,21.52343839406967,31.93500518798828
fsgc,impulse_noise,4,4,34.423828125,54.2672119140625
fsgc,impulse_noise,3,4,54.150390625,75.26773834228516
fsgc,impulse_noise,2,4,64.54101800918579,82.9828109741211
fsgc,impulse_noise,1,4,80.1464855670929,93.02696228027344
fsgc,gaussian_noise,5,4,27.63671875,45.795711517333984
fsgc,gaussian_noise,4,4,32.28515684604645,52.158817291259766
fsgc,gaussian_noise,3,4,39.306640625,60.757198333740234
fsgc,gaussian_noise,2,4,58.04687738418579,79.40705108642578
fsgc,gaussian_noise,1,4,78.01758050918579,93.42984008789062
fsgc,gaussian_blur,5,4,44.93164122104645,65.07965087890625
fsgc,gaussian_blur,4,4,69.7949230670929,87.62850189208984
fsgc,gaussian_blur,3,4,81.6699206829071,94.75011444091795
fsgc,gaussian_blur,2,4,89.8730456829071,97.98126983642578
fsgc,gaussian_blur,1,4,94.6191430091858,99.25877380371094
fsgc,frosted_glass_blur,5,4,53.21289300918579,72.34795379638672
fsgc,frosted_glass_blur,4,4,49.22851622104645,67.28993225097656
fsgc,frosted_glass_blur,3,4,64.93164300918579,84.02078247070312
fsgc,frosted_glass_blur,2,4,60.917967557907104,80.40453338623047
fsgc,frosted_glass_blur,1,4,59.41406488418579,78.76556396484375
fsgc,frost,5,4,63.447266817092896,85.59346771240234
fsgc,frost,4,4,74.84375238418579,92.00887298583984
fsgc,frost,3,4,75.6054699420929,92.4181137084961
fsgc,frost,2,4,85.9375,96.81180572509766
fsgc,frost,1,4,90.966796875,98.39092254638672
fsgc,fog,5,4,76.708984375,92.61311340332033
fsgc,fog,4,4,90.380859375,98.2510986328125
fsgc,fog,3,4,93.3496117591858,99.0565948486328
fsgc,fog,2,4,94.5507824420929,99.31199645996094
fsgc,fog,1,4,94.82421875,99.3715591430664
fsgc,elastic,5,4,77.79297232627869,92.40833282470705
fsgc,elastic,4,4,82.08984732627869,94.6599349975586
fsgc,elastic,3,4,87.55859732627869,97.20174407958984
fsgc,elastic,2,4,90.39062857627867,98.06830596923828
