run_id,seed,dataset,ctx_dataset,label_noise,reg_scale,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
gc1j4dl8,173,cifar10,cifar10,0.2,0.0,84.47999954223633,95.4990463256836,0.6840412020683289,8.386567585617305
64gv4pe7,157,cifar10,cifar10,0.2,0.0,84.96999740600586,95.74556732177734,0.6640450954437256,8.385347346864187
xwze05ow,53,cifar10,cifar10,0.2,0.0,85.56999564170837,95.8113021850586,0.6509727239608765,7.6977208420667065
ce1jbt5t,5,cifar10,cifar10,0.2,0.0,85.2899968624115,96.26721954345705,0.6316042542457581,7.792983733266594
mkocmlrz,211,cifar10,cifar10,0.2,1e-06,85.80999970436096,96.24539184570312,0.5366314649581909,5.758933045566081
g21t2wi0,173,cifar10,cifar10,0.2,1e-06,86.80999875068665,96.69518280029295,0.48613670468330383,4.770598330199719
ikkpvxm6,157,cifar10,cifar10,0.2,1e-06,86.25999689102173,96.37722778320312,0.5284917950630188,5.2748534065485
f0m5jr0l,53,cifar10,cifar10,0.2,1e-06,87.47999668121338,97.0220184326172,0.4680539071559906,4.500753975808621
9mpwsa48,5,cifar10,cifar10,0.2,1e-06,87.16999888420105,96.75325012207033,0.4944469630718231,4.776123363673687
9wep99pq,211,cifar10,cifar10,0.0,0.0,95.54999470710754,99.35782623291016,0.17121563851833344,2.4930498099327085
vkrlnke8,173,cifar10,cifar10,0.0,0.0,95.54999470710754,99.4140167236328,0.17230704426765442,2.43199748814106
9vyfzy17,157,cifar10,cifar10,0.0,0.0,95.19000053405762,99.33719635009766,0.1842479258775711,2.921109315603972
c2l25hij,53,cifar10,cifar10,0.0,0.0,95.36999464035034,99.33349609375,0.1782013773918152,2.5592751520872117
k88w3v1k,5,cifar10,cifar10,0.0,0.0,95.55999636650084,99.3938446044922,0.1741098165512085,2.4752153255045415
aaavd2z2,211,cifar10,cifar10,0.0,1e-06,95.63999772071838,99.50606536865234,0.17510907351970673,2.6183071780204776
1cph19u9,173,cifar10,cifar10,0.0,1e-06,95.54999470710754,99.5178451538086,0.17824575304985046,2.6933710613846786
8mzrky02,157,cifar10,cifar10,0.0,1e-06,95.5299973487854,99.49877166748048,0.18208417296409607,2.738408909142018
jj2hh4uc,53,cifar10,cifar10,0.0,1e-06,95.77999711036682,99.50899505615234,0.18219047784805295,2.55494265884161
krjtbnli,5,cifar10,cifar10,0.0,1e-06,95.71999907493593,99.49359130859376,0.18254044651985168,2.640187651216984
r0iftfkj,211,cifar10,whitenoise,0.8,0.0,25.040000677108765,34.10492706298828,3.5834693908691406,44.33410761713779
m3icvd8n,173,cifar10,whitenoise,0.8,0.0,25.679999589920044,34.56638717651367,3.561652183532715,43.42148308158339
kijhx9l7,157,cifar10,whitenoise,0.8,0.0,25.65000057220459,33.93166732788086,3.57897424697876,43.05075604647398
z3p54179,53,cifar10,whitenoise,0.8,0.0,25.519999861717224,34.1018180847168,3.8655831813812256,47.552831452934136
ibcvmi0p,5,cifar10,whitenoise,0.8,0.0,26.330000162124634,36.63372802734375,3.4643635749816895,41.71106998950243
gynpiby0,211,cifar10,whitenoise,0.8,1e-06,26.429998874664307,35.25608444213867,3.0031180381774902,40.18221921414137
i7x2hqvd,173,cifar10,whitenoise,0.8,1e-06,28.24999988079071,40.244632720947266,2.615614414215088,30.40950988575816
gms3hcgs,157,cifar10,whitenoise,0.8,1e-06,25.31999945640564,33.424896240234375,3.0816304683685303,42.301861658841375
uc8cyu5c,53,cifar10,whitenoise,0.8,1e-06,26.029998064041138,33.938194274902344,2.9959781169891357,39.702049394845965
n07lc6q5,5,cifar10,whitenoise,0.8,1e-06,25.14999806880951,34.27764129638672,3.0931613445281982,41.331288908421996
3uv2s9ht,211,cifar10,whitenoise,0.6,0.0,46.72999978065491,63.8474235534668,2.523322820663452,31.880226409286262
wuv2s6dl,173,cifar10,whitenoise,0.6,0.0,45.389997959136956,61.64664459228515,2.6999242305755615,34.39972865777035
i19mcwnc,157,cifar10,whitenoise,0.6,0.0,45.87999880313874,62.85732650756836,2.710968017578125,33.97692037527055
6rsd3ciz,53,cifar10,whitenoise,0.6,0.0,47.21999764442444,63.8909912109375,2.600741147994995,32.873456321656704
0t0u5e9x,5,cifar10,whitenoise,0.6,0.0,46.11999988555908,63.29686737060547,2.601501226425171,32.880809736996895
xs6pqc2i,211,cifar10,whitenoise,0.6,1e-06,47.04999923706054,62.988258361816406,2.1605076789855957,28.294626353979112
wh192pd0,173,cifar10,whitenoise,0.6,1e-06,46.43999934196472,62.78921890258789,2.2229933738708496,28.9350990729779
auabflp1,157,cifar10,whitenoise,0.6,1e-06,48.4499990940094,65.50936126708984,2.023249864578247,25.182429260462524
oi5clllk,53,cifar10,whitenoise,0.6,1e-06,47.81999886035919,63.23991012573242,2.136831521987915,28.50217165350914
wdc7t7dx,5,cifar10,whitenoise,0.6,1e-06,48.38999807834625,65.72894287109375,2.0090444087982178,24.46023482516408
ilrrig1w,211,cifar10,whitenoise,0.4,0.0,66.72999858856201,83.58004760742188,1.524167537689209,19.164279639774566
oxvhiiuc,173,cifar10,whitenoise,0.4,0.0,68.90000104904175,85.86573028564453,1.4210654497146606,18.21608329629788
3g0ttt14,157,cifar10,whitenoise,0.4,0.0,67.14000105857849,84.44336700439453,1.5157853364944458,19.00291375906784
hsyeay5p,53,cifar10,whitenoise,0.4,0.0,67.05999970436096,84.35867309570312,1.5665024518966677,19.617089104301897
49ip5q9b,5,cifar10,whitenoise,0.4,0.0,66.81999564170837,84.09603881835938,1.607387900352478,19.89164794216809
u4fbati9,211,cifar10,whitenoise,0.4,1e-06,70.85999846458435,87.28416442871094,1.0667415857315063,10.853819183707238
